position,frequency,adjectives_adverbs,,score
0.1,0.2,0.2,0.5,0.3651870797436689
0.5,0.6,0.7,0.0,0.9169842133532533
0.1,0.3,0.5,0.6,0.08896409681840232
0.1,0.3,0.7,0.6,0.29962057073325987
0.2,0.8,0.3,0.6,0.6419057480624126
0.0,0.1,0.0,0.9,0.4882392987610528
0.0,0.1,0.6,0.9,0.40669058214894327
0.1,0.3,0.1,0.8,0.054230919349515704
0.1,0.4,0.9,1.0,0.41945674494689883
0.1,1.0,0.6,0.5,0.27490554386950894
0.1,0.4,0.5,0.2,0.6746732137034538
0.1,0.5,0.6,0.7,0.29854744969327707
0.0,0.1,0.6,0.7,0.27793002902775704
0.1,0.2,1.0,1.0,0.18471320678873446
0.4,0.4,1.0,0.7,0.6653606230598643
0.5,0.3,0.1,0.4,0.6680562488945075
0.1,0.7,0.6,0.2,0.45000944099675055
0.5,1.0,0.7,0.1,0.8396244934993945
0.1,0.6,0.7,0.3,0.3316509702528383
0.1,0.6,1.0,0.5,0.8747355901103065
0.1,0.3,0.3,0.7,0.5728026604229186
0.2,0.1,0.3,0.7,0.599770749105665
0.1,0.2,0.5,0.8,0.1863742361124654
0.1,0.5,0.4,0.0,0.8783770298122107
0.1,0.2,0.4,0.1,0.467237641744402
0.3,0.3,0.1,0.0,0.7573046817030158
0.1,0.6,0.1,0.3,0.2787013848501847
0.0,0.3,0.5,0.0,0.5426993779557207
0.1,0.4,0.7,0.6,0.40124680362559456
0.7,0.6,0.8,0.6,0.7765180728496538
0.4,0.7,0.7,0.9,0.6628093734425311
0.2,0.4,0.9,0.2,0.9357228613910593
1.0,0.5,0.5,0.6,0.7346536827422201
0.2,1.0,0.5,0.9,0.3973945771104749
0.6,0.5,0.2,0.7,0.6636381210919338
0.1,0.5,0.1,0.5,0.5734060873454189
0.1,0.9,0.3,0.7,0.4882392987610527
0.3,0.1,0.9,0.7,0.9664052767096183
0.1,1.0,0.1,0.8,0.3430457579488587
0.1,1.0,0.6,0.6,0.3611095651001468
0.1,0.5,0.9,0.5,0.6534964405379443
0.1,0.7,0.9,0.9,0.678717364366723
0.1,0.2,0.9,0.2,0.6271559307510424
0.1,0.6,0.4,0.3,0.4880132267327793
0.1,0.2,0.7,0.5,0.36025313341873405
0.1,0.8,1.0,0.5,0.7270917393244822
0.2,0.3,0.3,0.5,0.6413023211399121
0.0,0.3,0.4,0.1,0.908180204813226
0.1,0.4,0.3,0.0,0.5450455946131543
0.2,0.8,0.3,0.8,0.3537065145861037
0.1,0.4,1.0,0.0,0.5041410999840473
0.2,0.0,0.8,0.3,0.7132163106233073
0.1,0.3,0.5,0.7,0.40685153388521056
0.1,0.3,0.7,0.7,0.07807581605753215
0.1,0.5,0.6,0.8,0.47364385492264044
0.1,0.2,0.2,0.6,0.22146785109446737
0.0,0.1,0.8,0.3,0.3856960711737093
0.1,0.3,0.1,0.9,0.13421595684839133
0.3,0.4,0.4,0.9,0.5817743239553455
0.1,0.8,0.6,0.5,0.71686949379875
0.7,0.6,0.8,1.0,0.5199298006606177
0.3,0.3,0.1,0.2,0.6643009246150913
0.9,0.3,0.6,0.8,0.6666183716288204
0.4,0.2,0.3,0.8,0.6085282517099405
0.1,0.3,0.0,0.0,0.3636859969028192
0.1,0.5,0.4,0.1,0.38334399868671937
0.1,0.6,0.1,0.4,0.6242613628884605
0.5,0.6,0.7,0.6,0.7138331347613069
0.4,0.5,0.0,0.2,0.6547403246913964
0.1,0.3,0.3,0.8,0.026713406571534898
0.0,0.2,0.5,0.7,0.6187510863371134
0.1,1.0,0.6,0.7,0.2989793225796751
0.2,0.1,0.9,0.7,0.6742236175517204
0.1,0.4,0.7,0.7,0.3226222986238699
0.2,1.0,0.6,0.1,0.4378529784236048
0.1,0.2,0.5,0.9,0.22146785109446743
0.3,0.1,0.9,0.9,0.5804089156970977
0.2,0.5,0.6,0.6,0.5307180462926624
0.7,0.6,0.9,0.1,0.9145131969682623
0.0,0.1,0.9,0.0,0.908180204813226
0.1,0.2,0.4,0.2,0.5229576779325671
0.1,0.7,0.2,1.0,0.27321600734399326
0.1,0.8,0.2,0.7,0.3745915055602414
0.1,0.5,0.9,0.6,0.38334399868671937
0.5,0.3,0.1,1.0,0.599770749105665
0.0,0.9,0.5,0.0,0.7276103183780955
0.1,0.6,0.4,0.4,0.32260951629924406
0.3,0.7,0.4,0.8,0.6293005370007244
0.2,0.0,0.1,0.3,0.24288497665778994
0.1,0.7,0.6,0.4,0.33583090079171796
1.0,0.5,0.6,0.6,0.7509921553359618
0.6,0.5,0.3,0.2,0.4861496617662137
0.4,0.2,0.3,1.0,0.5997707491056652
0.2,0.6,0.5,0.4,0.7440920838892762
0.1,0.4,1.0,0.1,0.29038659880323875
0.1,0.2,0.9,0.3,0.2661868334747641
0.3,0.4,0.5,0.0,0.5335306853721812
0.5,1.0,0.7,0.9,0.6659892321677034
0.1,0.2,0.7,0.6,0.7438539303997396
0.0,0.2,0.8,0.9,0.6296659853253732
0.1,0.4,0.0,1.0,0.26143266551832894
0.1,0.3,0.5,0.8,0.026713406571534898
0.1,0.4,0.5,0.4,0.25841120806874257
0.1,0.9,0.3,0.9,0.6296659853253732
0.7,0.0,0.6,0.2,0.9999999999999998
0.0,0.1,1.0,0.1,0.9081802048132258
0.1,0.3,0.1,1.0,0.2813361709608825
0.1,0.5,0.4,0.2,0.7564691055188207
0.4,0.7,0.8,0.4,0.8118269299178064
0.6,0.5,0.3,0.4,0.5395833031806804
0.1,0.2,0.2,0.7,0.5717139402581094
0.2,0.0,0.8,0.7,0.44223720577070924
0.3,0.5,0.9,0.4,0.9316522222190236
0.5,0.0,0.1,0.1,0.9920306420982564
0.0,0.4,0.2,0.1,0.7156124914968863
0.1,0.7,1.0,0.0,0.5566047263557032
0.1,0.8,1.0,0.7,0.404824078613631
0.1,0.3,0.0,0.1,0.3499090550243702
0.2,1.0,0.6,0.5,0.7104622298482932
0.1,0.3,0.9,0.9,0.22171580638405336
0.1,0.7,0.3,0.0,0.4025376566708068
0.1,0.3,0.3,0.9,0.5618877614346589
0.0,0.5,0.8,0.5,0.7276103183780958
0.1,0.5,0.1,0.7,0.3557301229689329
0.1,0.5,0.9,0.7,0.7564691055188205
1.0,0.5,0.7,0.1,0.9572156723554567
0.1,0.6,0.4,0.5,0.6445949140635198
0.1,0.7,0.6,0.5,0.3517779499781418
0.3,0.0,0.8,1.0,0.6085597140885092
0.2,0.1,0.9,0.9,0.5423647504103956
0.0,0.2,1.0,0.5,0.908180204813226
0.1,0.2,0.5,1.0,0.31772818065778713
0.1,0.8,0.6,0.7,0.6445949140635198
0.1,0.2,0.4,0.3,0.5644181990799464
0.1,0.6,1.0,0.8,0.34779715799614686
0.1,0.6,0.7,0.6,0.4880132267327793
0.0,0.2,0.3,0.8,0.2783311759969218
0.1,0.9,0.3,1.0,0.3098899768220785
0.1,0.5,0.6,1.0,0.29837315506262146
0.5,0.0,0.1,0.3,0.3705592915792655
0.1,0.4,1.0,0.2,0.43731782887061943
0.2,0.8,0.4,0.3,0.4254759567940602
0.2,0.0,0.8,0.9,0.3222814567454352
0.2,0.6,0.5,0.6,0.43160286772274226
0.1,0.4,0.3,0.2,0.744092083889276
0.2,0.9,0.5,0.1,0.7363678209823716
0.1,0.4,0.1,0.0,0.744092083889276
0.1,0.2,0.9,0.4,0.7096243131325867
0.1,0.8,1.0,0.8,0.3810937652436229
0.1,0.3,0.7,0.9,0.4068515338852105
0.0,0.0,0.2,0.9,0.36370322479937117
0.0,0.1,0.9,0.3,0.2752196912608828
0.1,0.3,0.5,0.9,0.06371034176235635
0.4,0.5,0.0,0.8,0.5864548249025539
0.1,0.2,0.7,0.7,0.34816952689070485
0.1,0.8,0.2,0.9,0.3580347673584502
0.5,0.3,0.2,0.5,0.6680562488945075
0.1,0.9,0.8,0.4,0.5003902483623239
0.2,0.3,0.3,0.9,0.5817743239553451
0.1,0.7,0.3,0.1,0.48801322673277936
0.7,0.6,1.0,0.0,0.6827504904791281
0.1,0.3,0.2,0.0,0.8540337657724081
0.2,1.0,0.6,0.9,0.4194567449468989
1.0,0.5,0.7,0.7,0.7509921553359618
0.4,0.7,0.8,0.8,0.7097373408062528
0.1,0.4,0.7,0.9,0.27379611585574554
0.1,0.7,0.6,0.6,0.508455572457408
0.1,1.0,0.6,1.0,0.6296659853253732
0.0,0.1,0.5,0.9,0.07378248314998938
0.1,0.2,0.2,0.8,0.05616714319532959
0.6,0.5,0.3,1.0,0.6041101239073667
0.1,0.3,0.0,0.2,0.36316347136083954
0.3,0.0,0.9,0.1,1.0
0.3,0.4,0.5,0.4,0.7138331347613072
0.1,0.3,0.3,1.0,0.22146785109446737
0.2,0.0,0.9,0.0,1.0
1.0,0.5,0.7,0.9,0.6548990168765784
0.1,0.6,1.0,0.9,0.48801322673277936
0.8,0.4,0.1,0.6,0.6680562488945073
0.7,0.6,1.0,0.2,0.6827504904791281
0.1,0.6,0.7,0.7,0.32260951629924406
0.2,0.5,0.6,1.0,0.3418864273701208
0.5,0.6,0.8,0.5,0.811000932173427
0.5,0.3,0.2,0.7,0.6501927058514824
0.2,0.0,0.1,0.6,0.5321889719406367
0.4,0.5,0.0,1.0,0.5864548249025539
0.0,0.1,0.9,0.6,0.9081802048132258
0.1,0.5,0.7,0.0,0.42708918142421803
0.9,0.3,0.8,0.5,0.9664052767096183
0.3,0.9,0.1,0.5,0.6413023211399121
0.1,0.2,0.6,0.0,0.4616068938240783
0.1,0.4,1.0,0.3,0.3372358754905459
0.2,0.1,1.0,0.0,0.47698562169744674
0.3,0.7,0.5,0.3,0.7564691055188207
0.0,0.2,0.4,0.5,0.6296659853253732
0.1,0.2,0.4,0.4,0.3481695268907048
0.5,0.0,0.1,0.7,0.5474296386962684
0.1,0.4,0.3,0.3,0.1550985683161645
0.2,0.6,0.5,0.8,0.6293005370007242
0.7,0.0,0.7,0.2,0.9999999999999998
0.2,0.2,0.7,0.4,0.5335306853721813
0.1,0.4,0.5,0.6,0.16794801498196885
0.0,0.2,0.0,0.9,0.6187510863371134
0.1,0.4,0.1,0.1,0.3609922013623644
0.1,1.0,0.7,0.0,0.436064926662919
0.1,1.0,0.2,0.2,0.668656980669487
0.5,0.6,0.8,0.7,0.7138331347613069
0.1,0.3,0.7,1.0,0.2201417882595467
0.1,0.2,0.9,0.5,0.3527939401344686
0.2,1.0,0.7,0.1,0.7270917393244828
0.8,0.4,0.1,1.0,0.6085282517099405
0.1,0.9,0.4,0.1,0.35435438178081413
0.6,0.5,0.4,0.3,0.5843863175709608
0.1,0.2,0.7,0.8,0.14921743857782951
1.0,0.5,0.8,0.4,0.9394888341437546
0.1,0.5,0.9,0.9,0.4562683612512094
0.1,0.4,0.7,1.0,0.5734060873454189
0.0,0.2,0.6,0.5,0.7276103183780958
0.1,0.3,0.2,0.1,0.370028940166565
0.2,0.3,0.4,0.0,0.9133009936278379
0.1,0.6,1.0,1.0,0.32260951629924395
0.2,0.7,0.5,0.1,0.740060499825814
0.5,0.0,0.1,0.9,0.298871233527318
0.1,0.3,1.0,0.0,0.43795621737069157
0.8,0.4,0.2,0.3,0.7148717439982794
0.1,0.8,1.0,1.0,0.24515911813969068
0.1,0.3,0.0,0.3,0.2201417882595467
0.1,0.3,0.4,0.0,0.4675818060372705
0.1,0.2,0.2,0.9,0.5607990412698497
0.7,0.6,1.0,0.8,0.7765180728496538
0.1,0.5,0.7,0.1,0.650743342443984
0.6,0.5,0.4,0.5,0.6637175853131171
0.0,0.2,0.7,0.9,0.6187510863371134
0.1,0.7,1.0,0.3,0.4914854994512842
0.1,0.8,0.3,0.0,0.48801322673277936
0.2,0.5,0.7,0.1,0.9295008637914542
0.2,0.3,1.0,1.0,0.7187210365593822
0.1,1.0,0.7,0.1,0.4378529784236047
0.1,0.4,1.0,0.4,0.5041410999840473
0.1,0.6,0.1,0.8,0.48823929876105276
0.2,0.0,0.9,0.2,0.4945127668763537
0.2,0.9,0.5,0.5,0.6787173643667233
0.1,0.7,0.3,0.3,0.678717364366723
0.3,0.1,1.0,0.7,0.9664052767096183
0.2,0.4,0.9,1.0,0.3688985112215245
0.1,0.4,0.3,0.4,0.41945674494689883
0.1,0.2,0.6,0.1,0.25520383867719565
0.1,0.7,0.6,0.8,0.4828346763241402
0.4,0.2,0.5,0.4,0.8946622464379758
0.1,0.4,0.5,0.7,0.2637357321585095
1.0,0.5,0.8,1.0,0.6548990168765784
0.1,0.2,0.4,0.5,0.38355088151166283
0.2,1.0,0.7,0.3,0.7564691055188211
0.7,0.0,0.7,0.9,0.677384715772635
0.0,0.9,0.5,0.2,0.5365473181921993
0.1,0.6,0.4,0.8,0.3291326260656976
0.9,0.3,0.9,0.7,0.9053683152815689
0.5,0.3,0.3,0.2,0.8810743326041762
0.1,0.3,0.8,0.0,0.9225535609594177
0.1,0.5,0.9,1.0,0.29854744969327707
0.1,0.7,0.0,0.0,0.3847473955593606
0.1,0.3,0.6,0.0,0.7030211745934184
0.3,0.3,0.2,0.1,0.7573046817030158
0.1,0.9,0.0,0.0,0.668656980669487
0.0,0.1,0.8,0.6,0.2995933341772023
0.1,0.2,0.9,0.6,0.2724046635447489
0.3,0.7,0.5,0.7,0.5078521455349078
0.4,0.0,0.1,0.4,0.6085597140885092
0.1,0.2,0.7,0.9,0.16257971406296606
0.9,0.3,0.9,1.0,0.7598363995149657
0.0,0.2,0.2,0.1,0.37608316235227235
0.1,0.3,0.2,0.2,0.2576705624332251
0.6,0.5,0.4,0.9,0.6636381210919338
0.1,0.3,1.0,0.1,0.5287743292303747
0.4,0.5,0.1,0.5,0.3605061381776469
0.2,0.3,0.4,0.2,0.3990746611542887
0.1,0.5,0.7,0.2,0.5233807588453354
0.4,0.7,0.9,0.5,0.8118269299178064
0.4,0.2,0.5,0.6,0.6458234526286802
0.7,0.7,0.0,0.4,0.6483715161915753
0.1,0.3,0.4,0.1,0.2782821023055906
0.1,0.3,0.0,0.4,0.317728180657787
0.1,0.4,1.0,0.5,0.22809157301744712
0.0,0.2,0.1,0.3,0.6187510863371134
0.1,0.7,0.6,0.9,0.2834188101436432
0.2,0.8,0.5,0.2,0.5615611553216521
0.1,0.2,0.2,1.0,0.22146785109446737
0.3,0.9,0.2,0.0,0.7440920838892762
0.3,0.4,0.5,1.0,0.5817743239553455
0.2,0.4,0.0,0.3,0.6234387780968871
0.1,0.5,0.4,0.6,0.3740939247369269
0.5,1.0,0.9,0.5,0.7138331347613069
0.0,0.1,0.8,0.1,0.908180204813226
0.1,0.4,0.3,0.5,0.2742279887421435
0.1,0.4,0.5,0.8,0.13292794553218865
0.1,0.9,0.0,0.1,0.288487065996041
0.3,0.7,0.5,0.9,0.3485043540384587
0.1,0.7,0.0,0.1,0.24515911813969066
0.0,0.7,1.0,0.5,0.7747847991430407
0.1,0.4,0.1,0.3,0.26373573215850943
0.1,0.5,1.0,0.0,0.5419961996126449
0.1,0.2,0.6,0.2,0.4379613959926733
0.1,0.6,0.7,1.0,0.6242613628884607
0.1,1.0,0.2,0.5,0.337641135511946
0.1,0.8,0.3,0.2,0.5376240061363057
0.0,0.0,0.2,0.5,0.2913364856118044
0.0,0.1,0.6,0.0,0.12146719312775413
0.1,0.2,0.4,0.6,0.026713406571534898
0.1,0.4,0.8,0.1,0.8979203317130903
0.2,0.1,1.0,0.4,0.6391010267147853
0.1,0.3,0.6,0.1,0.5287743292303748
0.2,0.0,0.1,1.0,0.5112136892551411
0.7,0.7,0.0,0.9,0.5888435190070086
0.0,0.4,0.6,0.9,0.3348714148418787
0.1,0.9,0.4,0.4,0.33227775514265434
0.1,0.2,0.9,0.7,0.5476698237987945
0.1,0.5,0.7,0.3,0.8783770298122104
0.5,0.6,0.9,0.6,0.811000932173427
0.1,0.7,0.3,0.5,0.629034401627488
0.1,0.3,1.0,0.2,0.9225535609594177
0.0,0.3,0.8,0.6,0.7050191782000527
0.1,0.3,0.2,0.3,0.3499090550243702
0.1,0.2,0.7,1.0,0.1479639489501274
0.7,0.0,0.8,0.6,0.9999999999999998
0.3,0.4,0.6,0.1,0.9169842133532533
0.4,0.0,0.1,0.8,0.5321889719406369
0.1,0.4,1.0,0.6,0.43737160649019435
0.2,0.3,0.4,0.4,0.3623000830394177
0.1,0.0,0.6,0.3,1.0
0.1,0.9,0.8,0.9,0.288487065996041
0.2,0.0,0.9,0.5,0.5194454865756672
0.1,0.3,0.4,0.2,0.34082524497303673
0.1,1.0,0.7,0.4,0.3069040845035023
0.1,0.3,0.0,0.5,0.09412579482858614
0.2,0.5,0.7,0.5,0.7109760910030131
0.9,0.3,1.0,1.0,0.875335321593401
0.0,0.4,0.9,0.3,0.908180204813226
0.1,0.6,0.4,1.0,0.34304575794885867
0.1,0.7,0.0,0.2,0.4828346763241402
0.2,0.1,1.0,0.5,0.48395872541703366
0.2,1.0,0.7,0.7,0.678717364366723
0.1,0.4,0.3,0.6,0.5734060873454189
0.5,0.6,0.9,0.8,0.7043507431149914
0.1,0.2,0.3,0.0,0.1895435595369629
0.1,0.7,1.0,0.6,0.7008643742599756
0.2,0.6,0.6,0.7,0.5078521455349078
1.0,0.5,1.0,0.6,0.9394888341437546
0.1,0.4,0.1,0.4,0.28172317152029236
0.1,0.9,0.4,0.5,0.288487065996041
0.9,0.4,0.0,0.1,0.735766154197118
0.0,0.4,0.4,0.5,0.6296659853253732
0.1,0.5,0.2,0.1,0.3950068971267839
0.3,0.9,0.2,0.4,0.5078521455349078
0.1,0.4,0.8,0.2,0.5041410999840474
0.1,0.2,0.6,0.3,0.5953104971712063
0.1,0.3,0.8,0.2,0.5704473929376939
0.1,0.7,0.3,0.6,0.2729265535600092
0.4,0.0,0.1,1.0,0.5321889719406369
0.8,0.4,0.4,0.7,0.6712361076196799
0.1,0.3,0.6,0.2,0.32634405290172014
0.2,0.0,0.9,0.6,0.7132163106233073
0.1,0.2,0.4,0.7,0.31143863352206175
0.1,0.6,0.2,0.0,0.3950068971267839
0.1,1.0,0.7,0.5,0.7256728751941222
0.3,0.7,0.6,0.2,0.7621203350951443
0.0,0.2,0.3,0.4,0.2783311759969218
0.1,0.9,0.0,0.3,0.3044853543851659
0.2,0.1,1.0,0.6,0.9572156723554569
0.1,0.2,0.9,0.8,0.5644181990799465
0.2,0.2,0.7,1.0,0.5800860164027327
0.1,0.4,1.0,0.7,0.5214077641539405
0.0,0.5,0.1,0.1,0.6471885737627442
0.1,0.3,0.2,0.4,0.40685153388521056
0.5,0.3,0.4,0.1,0.8999402767563492
0.9,0.4,0.0,0.5,0.6624561070711624
0.1,0.2,0.8,0.0,0.3460067789466808
0.1,0.5,0.4,0.8,0.11276773484083026
0.7,0.0,0.9,0.1,0.9999999999999998
0.1,0.8,0.3,0.4,0.6445949140635198
0.0,0.5,0.3,0.3,0.6471885737627442
0.1,0.7,1.0,0.7,0.4073839187563287
0.2,1.0,0.7,0.9,0.6546552977607563
0.1,0.3,0.4,0.3,0.23985261415259682
0.2,0.3,0.4,0.6,0.6413023211399121
0.3,0.0,1.0,0.0,1.0
0.1,0.5,1.0,0.2,0.5637878398835273
0.2,0.5,0.7,0.7,0.5307180462926624
0.1,0.3,0.0,0.6,0.3318260436728848
0.1,0.4,0.3,0.7,0.2370369307086429
0.8,0.4,0.5,0.2,0.9152020366507347
0.1,0.4,0.5,1.0,0.5734060873454189
0.2,0.0,0.9,0.7,0.47310490347599476
1.0,0.6,0.0,0.9,0.6621944899906704
0.2,0.6,0.7,0.0,0.9225535609594177
0.5,1.0,1.0,0.6,0.7138331347613069
0.0,0.2,0.5,0.8,0.26090330605905787
0.1,0.4,0.1,0.5,0.21108256340892437
0.1,0.7,0.7,0.1,0.8733098096883126
0.1,0.2,0.3,0.1,0.5476698237987944
0.2,0.5,0.0,0.0,0.3091317133294603
0.1,0.4,0.8,0.3,0.6507433424439842
0.1,0.9,0.0,0.4,0.6296659853253732
0.1,1.0,0.2,0.8,0.6296659853253732
0.3,0.2,0.0,0.4,0.5872718490506824
0.0,0.3,0.7,0.5,0.7050191782000527
0.1,0.5,0.7,0.5,0.4378529784236048
0.1,0.6,0.2,0.1,0.48801322673277936
0.6,0.5,0.6,0.1,0.9145131969682626
0.1,0.3,0.8,0.3,0.5287743292303748
0.5,0.6,1.0,0.3,0.9169842133532533
0.4,0.7,1.0,0.4,0.9201939918831453
0.7,0.7,0.1,1.0,0.43506754905601347
0.0,0.1,0.6,0.2,0.11005810435819227
0.1,0.2,0.6,0.4,0.10971394006532373
0.4,0.5,0.2,0.4,0.6547403246913964
0.7,0.0,0.9,0.5,0.9999999999999998
0.1,0.8,0.3,0.5,0.3030971196598708
0.1,0.7,0.0,0.4,0.3683019584245161
0.1,0.9,0.4,0.7,0.3376411355119461
0.0,0.1,0.8,0.9,0.10521189634936508
0.1,0.2,0.4,0.8,0.09329193053112261
0.4,0.0,0.2,0.7,0.5474296386962685
0.1,0.5,0.4,0.9,0.22207127801696766
0.2,0.0,0.9,0.8,0.5582056792725772
0.1,0.2,0.9,0.9,0.34816952689070485
0.2,0.8,0.5,0.8,0.3611095651001471
0.2,0.1,1.0,0.8,0.5562703164011507
0.0,0.7,0.5,0.4,0.6978254143483846
0.1,0.3,0.2,0.5,0.22146785109446737
0.7,0.7,0.2,0.1,0.6979819346151704
0.1,0.5,1.0,0.3,0.5041410999840473
0.1,1.0,0.7,0.7,0.668656980669487
1.0,0.6,0.1,0.5,0.6712361076196799
0.1,0.9,0.9,0.1,0.8847601287015249
0.1,0.2,0.8,0.1,0.7096243131325867
0.7,0.0,0.9,0.7,0.9999999999999998
0.8,0.4,0.5,0.8,0.6712361076196799
0.1,0.3,0.4,0.4,0.6812937961693949
0.1,0.4,0.3,0.8,0.3596215055704887
0.1,0.4,0.6,0.0,0.3017862300169906
0.3,0.4,0.6,0.7,0.6659892321677038
0.2,0.3,0.4,0.8,0.3651870797436686
0.1,0.3,0.0,0.7,0.22146785109446743
0.0,0.8,0.7,0.7,0.6471885737627442
0.1,0.5,0.2,0.3,0.29854744969327707
0.4,0.5,0.2,0.6,0.4951025958365642
0.2,0.6,0.7,0.2,0.5356476987406875
0.1,0.4,0.1,0.6,0.5734060873454189
0.1,0.4,0.8,0.4,0.2782821023055906
0.8,0.4,0.5,1.0,0.6680562488945073
0.5,0.0,0.3,0.5,0.6483809808548097
0.2,0.4,0.1,0.2,0.6628093734425311
0.1,0.9,0.4,0.8,0.4882392987610527
0.1,0.8,0.3,0.6,0.29133648561180436
0.2,0.0,0.9,0.9,0.48676398280769667
0.2,0.1,1.0,0.9,0.48395872541703366
0.0,0.0,0.3,0.2,0.5426993779557207
0.0,0.2,0.0,0.3,0.14736078524436558
0.1,0.2,0.3,0.2,0.19791705130912496
0.1,0.3,0.8,0.4,0.588707358632038
0.6,0.0,0.0,0.7,0.5474296386962685
0.1,0.8,0.7,0.5,0.354354381780814
0.1,0.6,0.5,0.2,0.7363678209823711
0.1,1.0,0.7,0.8,0.28848706599604107
0.1,0.3,0.6,0.4,0.8676591217145303
0.0,0.3,0.9,0.9,0.6471885737627444
0.1,0.6,0.8,0.3,0.5353745420817331
0.1,0.4,1.0,0.9,0.4376324193672059
1.0,0.6,0.2,0.1,0.7669715751227963
0.1,0.5,0.4,1.0,0.3557301229689329
0.1,0.2,0.6,0.5,0.7438539303997396
0.1,0.3,1.0,0.5,0.43830556028554185
0.2,1.0,0.8,0.5,0.40741947473370316
0.1,0.5,1.0,0.4,0.25630177937455356
0.1,0.1,0.8,0.2,0.9145131969682626
0.2,0.1,0.5,0.0,0.48395872541703366
0.1,0.9,0.0,0.6,0.6296659853253732
0.1,0.7,0.3,0.9,0.37949854717383946
0.1,0.2,0.4,0.9,0.3068398998969169
0.7,0.7,0.2,0.7,0.6483715161915753
0.1,0.2,0.9,1.0,0.6413023211399119
0.1,0.3,0.2,0.6,0.5728026604229186
0.1,0.4,0.3,0.9,0.22207127801696763
0.1,0.4,0.6,0.1,0.4696074889819471
0.2,0.2,0.8,0.7,0.6114555761617595
0.0,0.1,0.6,0.4,0.1455077498317475
0.1,0.2,0.8,0.2,0.13894877687089233
0.2,0.5,0.8,0.0,0.9295008637914542
0.1,0.6,0.2,0.3,0.49839518876017197
