dId,title,category,score,text,Coder-ICR-1,Coder-ICR-2,Coder-ICR-3
d18e26dd83073eb1b1f72621d9f66023d8e02b3e4af3e963ffdf5cb1,Game warnings 'must be clearer',politics,1.0,18-rated,-1,-1,-1
d265c9037dac3a1ca904fcd88ba1723c22c1ecceb0d6eafe85419172,Controversial film tops festival,entertainment,1.0,convicted,-1,-1,-1
d444e4f00092ce0c75baae25781ee17206ef5eb2fb7d75670ea952af,West End to honour finest shows,entertainment,1.0,best musical,-1,-1,-1
d534e81ba1f7c449a88c96a33ba3a11c6172ea2758d3ab9ab4bc558f,Robots learn 'robotiquette' rules,tech,1.0,human,-1,-1,-1
db0d346b6dddda777bb5eedccbcb8151fe5f3af0b7b0a8ac504c3815,Murphy: That was a bruising battle,sport,1.0,went,-1,-1,-1
dd3d896e89b63289c7a194f64ac755026818a04879d4dd0c8365063d,Apple makes blogs reveal sources,tech,1.0,Think Secret,-1,-1,-1
e088569336d221b3571b0f0f57e2f76ea217cc0c28ee0b08f1501856,Beastie Boys win sampling battle,entertainment,1.0,had paid,-1,-1,-1
e35b2032d9685a7e946fbc12435d53bc540790d91ca30149cd9cbdf9,Usher leads Soul Train shortlist,entertainment,1.0,best,-1,-1,-1
eaff4e0ab0794de6b47e901c8bf985387f9f281d02e939deca88d657,Milburn defends poster campaign,politics,1.0,flying,-1,-1,-1
ed5a79709b799ddd4c11ffe5a35f8c231606bd25c20421404b23d9ba,Munster Cup tie switched to Spain,sport,1.0,best rugby,-1,-1,-1
f2ee5706503813d0343b9a2d29a9c2829b2b368fb052c491b97608f9,Tech helps disabled speed demons,tech,1.0,left,-1,-1,-1
f3180a342a9feb32cf870fb1382b16187125f792889f2b431139b50f,Edwards tips Idowu for Euro gold,sport,1.0,jumps,-1,-1,-1
fe7e94e01c1a774df9b0eb797747fdccfe4add0296e188320f7a28b0,Joy Division story to become film,entertainment,1.0,make,-1,-1,-1
