dId,title,category,score,text,Coder-ICR-1,Coder-ICR-2,Coder-ICR-3
83683fda4a2c395c9d9952015b7d45be12d6862fe698153438ff6d89,Cabinet anger at Brown cash raid,politics,1,run local,1,1,1
9466bff28506a459c51bb4e77100995d41a20938d17eb9939dd247ab,Egypt to sell off state-owned bank,business,1,big public,1,1,1
9710da95e87a345131253b214b03e68096c5fb484edec0b5ad1b2d75,Smart search lets art fans browse,tech,1,text-based searching,2,2,2
9739a89cf6cd2d2384f9c99a7ca4a194d90ea618dec6fe61ef4f0ae9,Salary scandal in Cameroon,business,1,found guilty and forcing,2,2,2
9bdac01df2a0f909431c720005d2da755d21e9de66b6098be2ea9dfe,Stars pay tribute to actor Davis,entertainment,1,starring,1,2,2
a461687012bbfab8639f6fa0bae2ab4293d45141b9c594bfd265f0e4,Oil prices reach three-month low,business,1,crude,1,2,2
a84d6bde22a513abd727098c2977d243023c418477d8567d72fda0a3,Film row over Pirates 'cannibals',entertainment,1,be removed,2,2,2
a8e3678c5d42578d3fdafef6e42a351f0a456a72140002d688f92448,Broadband in the UK growing fast,tech,1,signing,0,2,2
b1bd8b77c6900aa58be310f51b3585047da18fc8207d8cbe1e0e4185,Game makers get Xbox 2 sneak peek,tech,1,new,1,1,1
b2cc33870e3392be9e4f149e1ffe21fa9eeb59e3733180cb9181c62d,Schools to take part in mock poll,politics,1,taking,2,0,2
b38abc971a824255c9724fdc3c5308682c9419bce8ce8c7b2ae9affa,Peace demo appeal rejected,politics,1,turn,1,1,2
b59f1642547736013b12b6e256dc7959c87725bf0320cf2c85caaf79,Tory leader unveils spending plan,politics,1,is going,0,0,0
bc9e4c0e7ccfaf978fa82bb100c2ba35a540f1f8f2fab22c9b7ebf10,Ruddock backs Yapp's credentials,sport,1,international,1,0,1
c07bd6c88b443028355a945a249684d60c208763182da603ad8c2044,Slimmer PlayStation triple sales,tech,1,sold,1,1,1
c2820013ad727e605199430b7e3f4325688d3fa29c3fc64895c929bd,Chinese dam firm 'defies Beijing',business,1,proper environmental,2,2,2
c32d762c9cf689629834d3f28a4cd9ae481ab7d32d28aa849e91e4d4,Elvis set to top UK singles chart,entertainment,1,does make,0,0,0
d05f5c7a1d6b6e8c5cdd7ca7ea353f1d470db5241ed17d662e105060,Steady job growth continues in US,business,1,last,1,1,1
d18e26dd83073eb1b1f72621d9f66023d8e02b3e4af3e963ffdf5cb1,Game warnings 'must be clearer',politics,1,18-rated,2,2,2
d265c9037dac3a1ca904fcd88ba1723c22c1ecceb0d6eafe85419172,Controversial film tops festival,entertainment,1,convicted,2,2,2
d444e4f00092ce0c75baae25781ee17206ef5eb2fb7d75670ea952af,West End to honour finest shows,entertainment,1,best musical,1,0,1
d534e81ba1f7c449a88c96a33ba3a11c6172ea2758d3ab9ab4bc558f,Robots learn 'robotiquette' rules,tech,1,human,2,1,2
db0d346b6dddda777bb5eedccbcb8151fe5f3af0b7b0a8ac504c3815,Murphy: That was a bruising battle,sport,1,went,1,1,1
dd3d896e89b63289c7a194f64ac755026818a04879d4dd0c8365063d,Apple makes blogs reveal sources,tech,1,Think Secret,2,2,2
e088569336d221b3571b0f0f57e2f76ea217cc0c28ee0b08f1501856,Beastie Boys win sampling battle,entertainment,1,had paid,2,2,2
e35b2032d9685a7e946fbc12435d53bc540790d91ca30149cd9cbdf9,Usher leads Soul Train shortlist,entertainment,1,best,0,0,0
eaff4e0ab0794de6b47e901c8bf985387f9f281d02e939deca88d657,Milburn defends poster campaign,politics,1,flying,1,2,2
ed5a79709b799ddd4c11ffe5a35f8c231606bd25c20421404b23d9ba,Munster Cup tie switched to Spain,sport,1,best rugby,0,1,1
f2ee5706503813d0343b9a2d29a9c2829b2b368fb052c491b97608f9,Tech helps disabled speed demons,tech,1,left,0,0,0
f3180a342a9feb32cf870fb1382b16187125f792889f2b431139b50f,Edwards tips Idowu for Euro gold,sport,1,jumps,1,1,0
fe7e94e01c1a774df9b0eb797747fdccfe4add0296e188320f7a28b0,Joy Division story to become film,entertainment,1,make,0,0,0
